ACPI Driver Trace Provider,{dab01d4d-2d48-477d-b1c3-daad0ce6f06b}
IMAPI2 dll,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e90}
IMAPI2 Interleave Stream,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e9e}
IMAPI2 Media Eraser,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e97}
IMAPI2 MSF,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e9f}
IMAPI2 Multisession Sequential,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7ea0}
IMAPI2 Pseudo-Random Stream,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e9c}
IMAPI2 Raw CD Writer,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e9a}
IMAPI2 Raw Image Writer,{07e397ec-c240-4ed7-8a2a-b9ff0fe5d581}
IMAPI2 Standard Data Writer,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e98}
IMAPI2 Track-at-Once CD Writer,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e99}
IMAPI2 Utilities,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e94}
IMAPI2 Write Engine,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e96}
IMAPI2 Zero Stream,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e9b}
IMAPI2FS Tracing,{f8036571-42d9-480a-babb-de7833cb059c}
IPMI Driver Trace,{d5c6a3e9-fa9c-434e-9653-165b4fc869e4}
IPMI Provider Trace,{651d672b-e11f-41b7-add3-c2f6a4023672}
KMDFv1 Trace Provider,{544d4c9d-942c-46d5-bf50-df5cd9524a50}
Local Security Authority (LSA),{cc85922f-db41-11d2-9244-006008269001}
LsaSrv,{199fe037-2b82-40a9-82ac-e1d46c792b99}
Microsoft-Antimalware-AMFilter,{cfeb0608-330e-4410-b00d-56d8da9986e6}
Microsoft-Antimalware-Engine,{0a002690-3839-4e3a-b3b6-96d8df868d99}
Microsoft-Antimalware-Engine-Instrumentation,{68621c25-df8d-4a6b-aabc-19a22e296a7c}
Microsoft-Antimalware-NIS,{102aab0a-9d9c-4887-a860-55de33b96595}
Microsoft-Antimalware-Protection,{e4b70372-261f-4c54-8fa6-a5a7914d73da}
Microsoft-Antimalware-RTP,{8e92deef-5e17-413b-b927-59b2f06a3cfc}
Microsoft-Antimalware-Scan-Interface,{2a576b87-09a7-520e-c21a-4942f0271d67}
Microsoft-Antimalware-Service,{751ef305-6c6e-4fed-b847-02ef79d26aef}
Microsoft-Antimalware-UacScan,{d37e7910-79c8-57c4-da77-52bb646364cd}
Microsoft-Autopilot-BootstrapperAgent,{cb1ff6d6-3248-4484-b96e-0973f64838c4}
Microsoft-Client-License-Flexible-Platform,{6e0df32c-7f11-54f7-e8ee-5ad4032727ce}
Microsoft-Client-Licensing-Platform,{b6cc0d55-9ecc-49a8-b929-2b9022426f2a}
Microsoft-ConfigMgr,{fd6007de-16d4-4d5b-a6d7-19aad3211528}
Microsoft-Epm-Events,{56b809b5-d9e6-4f21-a807-2a1e3ed4159e}
Microsoft-Gaming-Services,{bc1bdb57-71a2-581a-147b-e0b49474a2d4}
Microsoft-IE,{9e3b3947-ca5d-4614-91a2-7b624e0e7244}
Microsoft-IE-JSDumpHeap,{7f8e35ca-68e8-41b9-86fe-d6adc5b327e7}
Microsoft-IEFRAME,{5c8bb950-959e-4309-8908-67961a1205d5}
Microsoft-Intune-ControlConfig-Client-Telemetry,{9d7adb63-2e58-4503-b3ce-9017d7c88537}
Microsoft-Intune-Epm-Client-Telemetry,{8ad61205-8e7e-4be4-8d30-e2480500b39a}
Microsoft-Intune-Sidecar-Client-Telemetry,{e20927af-32d7-4d5d-9f73-82f077a1c891}
Microsoft-Inventory-Events,{5e6ac3d4-6a7e-4fdc-98f8-7017e4f177bf}
Microsoft-JScript,{57277741-3638-4a4b-bdba-0ac6e45da56c}
Microsoft-Office-Events,{8736922d-e8b2-47eb-8564-23e77e728cf3}
Microsoft-Office-Word,{daf0b914-9c1c-450a-81b2-fea7244f6ffa}
Microsoft-Office-Word2,{bb00e856-a12f-4ab7-b2c8-4e80caea5b07}
Microsoft-Office-Word3,{a1b69d49-2195-4f59-9d33-bdf30c0fe473}
Microsoft-OneCore-OnlineSetup,{41862974-da3b-4f0b-97d5-bb29fbb9b71e}
Microsoft-PerfTrack-IEFRAME,{b2a40f1f-a05a-4dfd-886a-4c4f18c4334c}
Microsoft-PerfTrack-MSHTML,{ffdb9886-80f3-4540-aa8b-b85192217ddf}
Microsoft-Quic,{ff15e657-4f26-570e-88ab-0796b258d11c}
Microsoft-Surface-SmfCpuClientDriver,{32760e2c-4ac2-40eb-9972-1c69c12ed757}
Microsoft-Surface-SurfaceAcpiPlatformExtensionDriver,{aba759c2-2f7b-41c2-8cfc-71c370e17276}
Microsoft-Surface-SurfaceBattery,{dcf09792-3c77-4d1c-8b99-a8a089841155}
Microsoft-Surface-SurfaceCFUOverHid,{48589a65-4ec1-45ec-bdc1-5693df02043c}
Microsoft-Surface-SurfaceDisplayHardware,{c55d6b1b-9b7e-47aa-9305-0d73c2c257d2}
Microsoft-Surface-SurfaceHidMiniDriver,{2fea7205-b0b1-41ca-8609-5a1d16f3132f}
Microsoft-Surface-SurfaceHotPlug,{69cd60e3-430f-4da4-b1b3-e3bdaf945875}
Microsoft-Surface-SurfaceIhvAudioFilterDriver,{e87903e6-27b6-4216-95ef-129b4947cd2f}
Microsoft-Surface-SurfaceMachineLearningService,{1e8d5623-6573-47f2-b69e-eea8923ce036}
Microsoft-Surface-SurfacePanelDriver,{3d53356d-424b-496a-a094-2154d8d2b304}
Microsoft-Surface-SurfacePowerMeter,{72e33992-7227-4c19-b37e-99a0bab20735}
Microsoft-Surface-SurfacePowerState,{44f35d0a-a3fa-4248-a7cb-22fe08b3288d}
Microsoft-Surface-SurfacePowerTrackerCore,{23ac50b3-680e-7ad3-a2b3-d5dbef945870}
Microsoft-Surface-SurfaceRadioTelemetryDriver,{50831813-a9f1-54e2-634e-31ee5f06dc1d}
Microsoft-Surface-SurfaceSerialHubDriver,{8ddb06d0-a54b-4014-b119-5a09fb550d18}
Microsoft-Surface-SurfaceSmfClient,{a8d5fcb2-ff94-4166-920d-3338902e77e0}
Microsoft-Surface-SurfaceSmfCoreDriver,{0ec12c6e-794a-4b5e-8e27-6d3dc98bbd38}
Microsoft-Surface-SurfaceSystemTelemetryDriver,{fd325c17-372e-40d1-8388-1be314cb816a}
Microsoft-System-Diagnostics-DiagnosticInvoker,{9068a924-f97e-5506-c3a3-5c020c00e8e0}
Microsoft-Windows Networking VPN Plugin Platform,{e5fc4a0f-7198-492f-9b0f-88fdcbfded48}
Microsoft-Windows-AAD,{4de9bc9c-b27a-43c9-8994-0915f1a5e24f}
Microsoft-Windows-AccelLib,{1dfda998-7f9c-5651-d262-07f4a04eaefe}
Microsoft-Windows-AccelLib-AccelCx,{9c4cf201-dd11-5e35-9de5-2c2146832011}
Microsoft-Windows-ACL-UI,{ea4cc8b8-a150-47a3-afb9-c8d194b19452}
Microsoft-Windows-ActionQueue,{0dd4d48e-2bbf-452f-a7ec-ba3dba8407ae}
Microsoft-Windows-ADSI,{7288c9f8-d63c-4932-a345-89d6b060174d}
Microsoft-Windows-AIT,{6addabf4-8c54-4eab-bf4f-fbef61b62eb0}
Microsoft-Windows-All-User-Install-Agent,{d2e990da-8504-4702-a5e5-367fc2f823bf}
Microsoft-Windows-AppHost,{98e0765d-8c42-44a3-a57b-760d7f93225a}
Microsoft-Windows-AppID,{3cb2a168-fe19-4a4e-bdad-dcf422f13473}
Microsoft-Windows-AppIDServiceTrigger,{d02a9c27-79b8-40d6-9b97-cf3f8b7b5d60}
Microsoft-Windows-ApplicabilityEngine,{10a208dd-a372-421c-9d99-4fad6db68b62}
Microsoft-Windows-Application Server-Applications,{c651f5f6-1c0d-492e-8ae1-b4efd7c9d503}
Microsoft-Windows-Application-Experience,{eef54e71-0661-422d-9a98-82fd4940b820}
Microsoft-Windows-ApplicationExperience-Cache,{6d8a3a60-40af-445a-98ca-99359e500146}
Microsoft-Windows-ApplicationExperience-LookupServiceTrigger,{18f4a5fd-fd3b-40a5-8fc2-e5d261c5d02e}
Microsoft-Windows-ApplicationExperience-SwitchBack,{17d6e590-f5fe-11dc-95ff-0800200c9a66}
Microsoft-Windows-ApplicationExperienceInfrastructure,{5ec13d8e-4b3f-422e-a7e7-3121a1d90c7a}
Microsoft-Windows-AppLocker,{cbda4dbf-8d5d-4f69-9578-be14aa540d22}
Microsoft-Windows-AppModel-Exec,{eb65a492-86c0-406a-bace-9912d595bd69}
Microsoft-Windows-AppModel-MessagingDataModel,{1e2462be-b025-48da-8c1f-7b60b8ccae53}
Microsoft-Windows-AppModel-Runtime,{f1ef270a-0d32-4352-ba52-dbab41e1d859}
Microsoft-Windows-AppModel-State,{bff15e13-81bf-45ee-8b16-7cfead00da86}
Microsoft-Windows-AppReadiness,{f0be35f8-237b-4814-86b5-ade51192e503}
Microsoft-Windows-AppSruProv,{0cc157b3-cf07-4fc2-91ee-31ac92e05fe1}
Microsoft-Windows-AppXDeployment,{8127f6d4-59f9-4abf-8952-3e3a02073d5f}
Microsoft-Windows-AppXDeployment-Server,{3f471139-acb7-4a01-b7a7-ff5da4ba2d43}
Microsoft-Windows-AppXDeployment-Server-UndockedDeh,{43833e12-078d-4d7d-8aaf-ae8c8520f18c}
Microsoft-Windows-AppxPackagingOM,{ba723d81-0d0c-4f1e-80c8-54740f508ddf}
Microsoft-Windows-ASN1,{d92ef8ac-99dd-4ab8-b91d-c6eba85f3755}
Microsoft-Windows-AssignedAccess,{8530db6e-51c0-43d6-9d02-a8c2088526cd}
Microsoft-Windows-AssignedAccessBroker,{f2311b48-32be-4902-a22a-7240371dbb2c}
Microsoft-Windows-AsynchronousCausality,{19a4c69a-28eb-4d4b-8d94-5f19055a1b5c}
Microsoft-Windows-Audio,{ae4bd3be-f36f-45b6-8d21-bdd6fb832853}
Microsoft-Windows-Audit,{75ebc33e-0936-4a55-9d26-5f298f3180bf}
Microsoft-Windows-Audit-CVE,{85a62a0d-7e17-485f-9d4f-749a287193a6}
Microsoft-Windows-AuthenticationProvider,{dddc1d91-51a1-4a8d-95b5-350c4ee3d809}
Microsoft-Windows-AxInstallService,{dab3b18c-3c0f-43e8-80b1-e44bc0dad901}
Microsoft-Windows-BackgroundTransfer-ContentPrefetcher,{648a0644-7d62-4fd3-8841-440064762f95}
Microsoft-Windows-Backup,{1db28f2e-8f80-4027-8c5a-a11f7f10f62d}
Microsoft-Windows-Base-Filtering-Engine-Connections,{121d3da8-baf1-4dcb-929f-2d4c9a47f7ab}
Microsoft-Windows-Base-Filtering-Engine-Resource-Flows,{92765247-03a9-4ae3-a575-b42264616e78}
Microsoft-Windows-Battery,{59819d0a-adaf-46b2-8d7c-990bc39c7c15}
Microsoft-Windows-BfeTriggerProvider,{54732ee5-61ca-4727-9da1-10be5a4f773d}
Microsoft-Windows-Biometrics,{a0e3d8ea-c34f-4419-a1db-90435b8b21d0}
Microsoft-Windows-BitLocker-API,{5d674230-ca9f-11da-a94d-0800200c9a66}
Microsoft-Windows-BitLocker-DrivePreparationTool,{632f767e-0ec3-47b9-ba1c-a0e62a74728a}
Microsoft-Windows-BitLocker-Driver,{651df93b-5053-4d1e-94c5-f6e6d25908d0}
Microsoft-Windows-BitLocker-Driver-Performance,{1de130e1-c026-4cbf-ba0f-ab608e40aeea}
Microsoft-Windows-Bits-Client,{ef1cc15b-46c1-414e-bb95-e76b077bd51e}
Microsoft-Windows-Bluetooth-BthLEPrepairing,{4af188ac-e9c4-4c11-b07b-1fabc07dfeb2}
Microsoft-Windows-Bluetooth-Bthmini,{db25b328-a6f6-444f-9d97-a50e20217d16}
Microsoft-Windows-Bluetooth-MTPEnum,{04268430-d489-424d-b914-0cff741d6684}
Microsoft-Windows-Bluetooth-Policy,{0602ecef-6381-4bc0-aeda-eb9bb919b276}
Microsoft-Windows-BootUX,{67d781bd-cbd2-4bd2-ad1f-6152fb891246}
Microsoft-Windows-BranchCache,{7eafcf79-06a7-460b-8a55-bd0a0c9248aa}
Microsoft-Windows-BranchCacheClientEventProvider,{e837619c-a2a8-4689-833f-47b48ebd2442}
Microsoft-Windows-BranchCacheEventProvider,{dd85457f-4e2d-44a5-a7a7-6253362e34dc}
Microsoft-Windows-BranchCacheMonitoring,{a2f55524-8ebc-45fd-88e4-a1b39f169e08}
Microsoft-Windows-BranchCacheSMB,{4a933674-fb3d-4e8d-b01d-17ee14e91a3e}
Microsoft-Windows-BrokerInfrastructure,{e6835967-e0d2-41fb-bcec-58387404e25a}
Microsoft-Windows-BTH-BTHPORT,{8a1f9517-3a8c-4a9e-a018-4f17a200f277}
Microsoft-Windows-BTH-BTHUSB,{33693e1d-246a-471b-83be-3e75f47a832d}
Microsoft-Windows-Build-RegDll,{d39b6336-cfcb-483b-8c76-7c3e7d02bcb8}
Microsoft-Windows-CAPI2,{5bbca4a8-b209-48dc-a8c7-b23d3e5216fb}
Microsoft-Windows-CDROM,{9b6123dc-9af6-4430-80d7-7d36f054fb9f}
Microsoft-Windows-CertificateServicesClient,{73370bd6-85e5-430b-b60a-fea1285808a7}
Microsoft-Windows-CertificateServicesClient-AutoEnrollment,{f0db7ef8-b6f3-4005-9937-feb77b9e1b43}
Microsoft-Windows-CertificateServicesClient-CertEnroll,{54164045-7c50-4905-963f-e5bc1eef0cca}
Microsoft-Windows-CertificateServicesClient-CredentialRoaming,{89a2278b-c662-4aff-a06c-46ad3f220bca}
Microsoft-Windows-CertificateServicesClient-Lifecycle-System,{bc0669e1-a10d-4a78-834e-1ca3c806c93b}
Microsoft-Windows-CertificateServicesClient-Lifecycle-User,{bea18b89-126f-4155-9ee4-d36038b02680}
Microsoft-Windows-CertificationAuthorityClient-CertCli,{98bf1cd3-583e-4926-95ee-a61bf3f46470}
Microsoft-Windows-CertPolEng,{af9cc194-e9a8-42bd-b0d1-834e9cfab799}
Microsoft-Windows-Cleanmgr,{9ae87b12-a014-5288-92df-e3030981ebab}
Microsoft-Windows-ClearTypeTextTuner,{0a88862d-20a3-4c1f-b76f-162c55adbf93}
Microsoft-Windows-CloudFiles-Filter,{4580bb06-baed-5b62-a4d5-92fa7156e7db}
Microsoft-Windows-CloudRestoreLauncher,{dc327e90-7748-58ed-f39c-8a8987cfac58}
Microsoft-Windows-CloudStore,{741bb90c-a7a3-49d6-bd82-1e6b858403f7}
Microsoft-Windows-CmiSetup,{75ebc33e-0cc6-49da-8cd9-8903a5222aa0}
Microsoft-Windows-CodeIntegrity,{4ee76bd8-3cf4-44a0-a0ac-3937643e37a3}
Microsoft-Windows-COM,{d4263c98-310c-4d97-ba39-b55354f08584}
Microsoft-Windows-COM-Perf,{b8d6861b-d20f-4eec-bbae-87e0dd80602b}
Microsoft-Windows-COM-RundownInstrumentation,{2957313d-fcaa-5d4a-2f69-32ce5f0ac44e}
Microsoft-Windows-ComDlg32,{7f912b92-21ad-496e-b97a-88622a72bc42}
Microsoft-Windows-Compat-Appraiser,{442c11c5-304b-45a4-ae73-dc2194c4e876}
Microsoft-Windows-Complus,{0f177893-4a9c-4709-b921-f432d67f43d5}
Microsoft-Windows-COMRuntime,{bf406804-6afa-46e7-8a48-6c357e1d6d61}
Microsoft-Windows-Configuration-Change-Monitor,{a148cf02-be6d-5f08-94e3-b68de60d8422}
Microsoft-Windows-Containers-BindFlt,{fc4e8f51-7a04-4bab-8b91-6321416f72ab}
Microsoft-Windows-Containers-Wcifs,{aec5c129-7c10-407d-be97-91a042c61aaa}
Microsoft-Windows-CoreSystem-InitMachineConfig,{0b886108-1899-4d3a-9c0d-42d8fc4b9108}
Microsoft-Windows-CoreSystem-NetProvision-JoinProviderOnline,{3629dd4d-d6f1-4302-a623-0768b51501c7}
Microsoft-Windows-CoreSystem-SmsRouter,{a9c11050-9e93-4fa4-8fe0-7c4750a345b2}
Microsoft-Windows-CoreWindow,{a3d95055-34cc-4e4a-b99f-ec88f5370495}
Microsoft-Windows-CorruptedFileRecovery-Client,{ba093605-3909-4345-990b-26b746adee0a}
Microsoft-Windows-CorruptedFileRecovery-Server,{d6f68875-cdf5-43a5-a3e3-53ffd683311c}
Microsoft-Windows-Crashdump,{ecdaacfa-6fe9-477c-b5f0-85b76f8f50aa}
Microsoft-Windows-CredUI,{5a24fcdb-1cf3-477b-b422-ef4909d51223}
Microsoft-Windows-Crypto-BCrypt,{c7e089ac-ba2a-11e0-9af7-68384824019b}
Microsoft-Windows-Crypto-CNG,{e3e0e2f0-c9c5-11e0-8ab9-9ebc4824019b}
Microsoft-Windows-Crypto-DPAPI,{89fe8f40-cdce-464e-8217-15ef97d4c7c3}
Microsoft-Windows-Crypto-DSSEnh,{43dad447-735f-4829-a6ff-9829a87419ff}
Microsoft-Windows-Crypto-NCrypt,{e8ed09dc-100c-45e2-9fc8-b53399ec1f70}
Microsoft-Windows-Crypto-RNG,{54d5ac20-e14f-4fda-92da-ebf7556ff176}
Microsoft-Windows-Crypto-RSAEnh,{152fdb2b-6e9d-4b60-b317-815d5f174c4a}
Microsoft-Windows-D3D10Level9,{7e7d3382-023c-43cb-95d2-6f0ca6d70381}
Microsoft-Windows-D3D9,{783aca0a-790e-4d7f-8451-aa850511c6b9}
Microsoft-Windows-DAL-Provider,{7e87506f-bace-4bf1-bc09-3a1f37045c71}
Microsoft-Windows-Data-Pdf,{b97561fe-b27a-4c48-aa3e-7d3addc105b1}
Microsoft-Windows-DataIntegrityScan,{13bc4371-4e21-4e46-a84f-8c0ffb548ced}
Microsoft-Windows-DateTimeControlPanel,{741fc222-44ed-4ba7-98e3-f405b2d2c4b4}
Microsoft-Windows-DCLocator,{cfaa5446-c6c4-4f5c-866f-31c9b55b962d}
Microsoft-Windows-DDisplay,{75051c9d-2833-4a29-8923-046db7a432ca}
Microsoft-Windows-Deduplication,{f9fe3908-44b8-48d9-9a32-5a763ff5ed79}
Microsoft-Windows-Deduplication-Change,{1d5e499d-739c-45a6-a3e1-8cbe0a352beb}
Microsoft-Windows-Defrag-Core,{e3257c8c-c7cb-444f-9da0-5d92a2625289}
Microsoft-Windows-DeliveryOptimization,{f8ad09ba-419c-5134-1750-270f4d0fb889}
Microsoft-Windows-Deplorch,{b9da9fe6-ae5f-4f3e-b2fa-8e623c11dc75}
Microsoft-Windows-DesktopActivityModerator,{32dd13df-9c0b-4c3b-b854-ee76c050f5f4}
Microsoft-Windows-DeviceAssociationService,{56c71c31-cfbd-4cdd-8559-505e042bbbe1}
Microsoft-Windows-DeviceConfidence,{1d5990c1-ec62-49f0-9e37-1f4db12db41e}
Microsoft-Windows-DeviceGuard,{f717d024-f5b4-4f03-9ab9-331b2dc38ffb}
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider,{3da494e4-0fe2-415c-b895-fb5265c5c83b}
Microsoft-Windows-DeviceManagement-Pushrouter,{f1201b5a-e170-42b6-8d20-b57ac57e6416}
Microsoft-Windows-Devices-AccessBroker,{64fb8d23-f0b6-5d2d-b1f6-488303c1761f}
Microsoft-Windows-Devices-Background,{64ef2b1c-4ae1-4e64-8599-1636e441ec88}
Microsoft-Windows-Devices-Query,{df63d0dc-97c2-5e48-c1cc-7b46bfd4df88}
Microsoft-Windows-DeviceSetupManager,{fcbb06bb-6a2a-46e3-abaa-246cb4e508b2}
Microsoft-Windows-DeviceSync,{09ec9687-d7ad-40ca-9c5e-78a04a5ae993}
Microsoft-Windows-DeviceUpdateAgent,{e8f9af91-afbe-5a03-dfec-5d591686326c}
Microsoft-Windows-DeviceUx,{ded165cf-485d-4770-a3e7-9c5f0320e80c}
Microsoft-Windows-DevMgmt-UefiCsp,{739d66d8-76c4-4004-873f-169ae5c6eaca}
Microsoft-Windows-DfsSvc,{7da4fe0e-fd42-4708-9aa5-89b77a224885}
Microsoft-Windows-Dhcp-Client,{15a7a4f8-0072-4eab-abad-f98a4d666aed}
Microsoft-Windows-DHCPv6-Client,{6a1f2b00-6a90-4c38-95a5-5cab3b056778}
Microsoft-Windows-DiagCpl,{1a396961-5f3c-4c71-8310-44c653c0bf8a}
Microsoft-Windows-Diagnosis-AdvancedTaskManager,{178dadaf-7ac4-4593-ab3e-a45fda6d0d55}
Microsoft-Windows-Diagnosis-DPS,{6bba3851-2c7e-4dea-8f54-31e5afd029e3}
Microsoft-Windows-Diagnosis-MSDE,{a50b09f8-93eb-4396-84c9-dc921259f952}
Microsoft-Windows-Diagnosis-PCW,{aabf8b86-7936-4fa2-acb0-63127f879dbf}
Microsoft-Windows-Diagnosis-PLA,{e4d53f84-7de3-11d8-9435-505054503030}
Microsoft-Windows-Diagnosis-Scheduled,{40ab57c2-1c53-4df9-9324-ff7cf898a02c}
Microsoft-Windows-Diagnosis-Scripted,{e1dd7e52-621d-44e3-a1ad-0370c2b25946}
Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider,{9363ccd9-d429-4452-9adb-2501e704b810}
Microsoft-Windows-Diagnosis-WDC,{05921578-2261-42c7-a0d3-26ddbce6c50d}
Microsoft-Windows-Diagnosis-WDI,{e01b1a7c-c5c9-4e67-99a9-5e85acfb2e10}
Microsoft-Windows-Diagnostics-LoggingChannel,{4bd2826e-54a1-4ba9-bf63-92b73ea1ac4a}
Microsoft-Windows-Diagnostics-Networking,{36c23e18-0e66-11d9-bbeb-505054503030}
Microsoft-Windows-Diagnostics-Performance,{cfc18ec0-96b1-4eba-961b-622caee05b0a}
Microsoft-Windows-Diagnostics-PerfTrack,{030f2f57-abd0-4427-bcf1-3a3587d7dc7d}
Microsoft-Windows-Direct3D10,{9b7e4c0f-342c-4106-a19f-4f2704f689f0}
Microsoft-Windows-Direct3D10_1,{9b7e4c8f-342c-4106-a19f-4f2704f689f0}
Microsoft-Windows-Direct3D11,{db6f6ddb-ac77-4e88-8253-819df9bbf140}
Microsoft-Windows-Direct3D12,{5d8087dd-3a9b-4f56-90df-49196cdc4f11}
Microsoft-Windows-Direct3DShaderCache,{2d4ebca6-ea64-453f-a292-ae2ea0ee513b}
Microsoft-Windows-DirectComposition,{c44219d0-f344-11df-a5e2-b307dfd72085}
Microsoft-Windows-DirectManipulation,{5786e035-ef2d-4178-84f2-5a6bbedbb947}
Microsoft-Windows-Directory-Services-SAM,{0d4fdc09-8c27-494a-bda0-505e4fd8adae}
Microsoft-Windows-Directory-Services-SAM-Utility,{bd8fea17-5549-4b49-aa03-1981d16396a9}
Microsoft-Windows-DirectShow-Core,{968f313b-097f-4e09-9cdd-bc62692d138b}
Microsoft-Windows-DirectShow-KernelSupport,{3cc2d4af-da5e-4ed4-bcbe-3cf995940483}
Microsoft-Windows-DirectSound,{8a93b54b-c75a-49b5-a5be-9060715b1a33}
Microsoft-Windows-Disk,{6b4db0bc-9a3d-467d-81b9-a84c6f2f3d40}
Microsoft-Windows-DiskDiagnostic,{e670a5a2-ce74-4ab4-9347-61b815319f4c}
Microsoft-Windows-DiskDiagnosticDataCollector,{e104fb41-6b04-4f3a-b47d-f0df2f02b954}
Microsoft-Windows-DiskDiagnosticResolver,{6b1ffe48-5b1e-4793-9f7f-ae926454499d}
Microsoft-Windows-Dism-Api,{75b0da21-8b50-42eb-9448-ec48b1729b57}
Microsoft-Windows-Dism-Cli,{2f959466-24d4-4972-8729-0d5e3539ebc3}
Microsoft-Windows-Display,{6ece3302-fee1-4ea9-8b88-086d459ed976}
Microsoft-Windows-DisplayColorCalibration,{3239eb6f-c7fc-4953-aa15-646829a4ca4c}
Microsoft-Windows-DisplaySwitch,{192ede41-9175-4c86-ac02-9d003c9d43ab}
Microsoft-Windows-DistributedCOM,{1b562e86-b7aa-4131-badc-b6f3a001407e}
